team_id,overall,power,tier,week
1,1,1,1,1
2,10,10,4,1
3,12,12,5,1
4,11,11,5,1
5,4,4,1,1
6,9,9,4,1
7,6,6,2,1
8,5,5,1,1
9,8,8,4,1
10,7,7,3,1
11,3,3,1,1
12,2,2,1,1
1,1,1,1,2
2,8,8,3,2
3,7,6,2,2
4,12,12,5,2
5,3,2,2,2
6,6,5,2,2
7,9,9,4,2
8,2,4,2,2
9,11,11,5,2
10,10,10,4,2
11,4,3,2,2
12,5,7,3,2
